City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Dongsheng,CN,39.8161,109.9776,33.91,21,33,7.52,scattered clouds
131,Victoria,HK,22.2855,114.1577,78.85,85,93,13.0,overcast clouds
132,Boyolangu,ID,-8.1181,111.8935,85.19,69,95,4.23,overcast clouds
133,Lorengau,PG,-2.0226,147.2712,85.28,64,13,6.2,few clouds
134,Vao,NC,-22.6667,167.4833,76.06,74,28,17.16,scattered clouds
135,Yar-Sale,RU,66.8333,70.8333,4.01,92,90,6.38,overcast clouds
136,Kaitangata,NZ,-46.2817,169.8464,54.46,62,94,10.4,overcast clouds
137,Soe,ID,-9.8607,124.284,79.03,67,77,3.18,broken clouds
138,Muravlenko,RU,63.7898,74.523,28.92,96,100,20.18,light snow
139,Teya,RU,60.3778,92.6267,16.16,90,98,8.52,overcast clouds
140,Bengkulu,ID,-3.8004,102.2655,84.15,68,72,1.12,broken clouds
141,Aquiraz,BR,-3.9014,-38.3911,78.89,85,99,4.29,overcast clouds
142,Burnie,AU,-41.0667,145.9167,59.38,71,100,6.51,overcast clouds
143,Elizabeth City,US,36.2946,-76.2511,46.42,79,0,5.75,clear sky
144,Raudeberg,NO,61.9875,5.1352,41.67,8,100,13.11,light rain
145,Guerrero Negro,MX,27.9769,-114.0611,65.16,68,100,10.02,overcast clouds
146,Ozerne,UA,50.1782,28.7338,40.89,96,55,5.55,broken clouds
147,North Platte,US,41.1239,-100.7654,45.37,66,0,4.61,clear sky
148,Paceco,IT,37.9787,12.5566,52.57,87,40,0.0,scattered clouds
149,Vostok,RU,46.4856,135.8833,51.01,56,100,4.18,overcast clouds
150,Mizdah,LY,31.4451,12.9801,54.23,80,31,16.87,scattered clouds
151,Iquitos,PE,-3.7481,-73.2472,77.04,88,0,0.0,clear sky
152,Komsomolskiy,UZ,40.4272,71.7189,48.92,71,0,6.91,clear sky
153,Estevan,CA,49.1334,-102.9842,17.94,93,100,10.36,overcast clouds
154,Vilyuysk,RU,63.7553,121.6247,3.72,90,98,6.53,overcast clouds
155,Tiksi,RU,71.6872,128.8694,-14.71,90,20,11.68,few clouds
156,Verkhoyansk,RU,67.5447,133.385,-4.99,83,100,7.02,overcast clouds
157,The Pas,CA,53.8251,-101.2541,21.22,53,100,6.91,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,60.78,94,100,13.0,overcast clouds
159,Pangnirtung,CA,66.1451,-65.7125,-17.84,94,81,4.85,broken clouds
160,Fez,MA,34.0372,-4.9998,48.45,71,0,3.44,clear sky
161,Jacksonville,US,30.3322,-81.6556,64.4,88,100,9.22,overcast clouds
162,Monte Alegre,BR,-2.0078,-54.0692,74.71,85,60,3.42,broken clouds
163,Porto Novo,BJ,6.4965,2.6036,75.02,80,100,3.78,moderate rain
164,Tessalit,ML,20.1986,1.0114,67.08,33,0,7.52,clear sky
165,Rio Gallegos,AR,-51.6226,-69.2181,55.45,44,40,10.36,scattered clouds
166,Tazovskiy,RU,67.4667,78.7,15.04,89,100,13.09,overcast clouds
167,Carnarvon,AU,-24.8667,113.6333,81.81,60,69,14.03,broken clouds
168,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,97,100,7.23,overcast clouds
169,Mabaruma,GY,8.2,-59.7833,70.07,94,34,2.89,scattered clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,20,8.21,few clouds
